id_prueba,timestamp,modo,tipo de evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,acierto,notas
143,2025-12-28T16:01:42.060625,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.038,,
144,2025-12-28T16:01:42.068640,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 0.01% | Pixels: 28/270400,,00:00:00.008,,
145,2025-12-28T16:01:42.071168,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
146,2025-12-28T16:01:42.073854,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 0.0%)",,00:00:00.002,,
147,2025-12-28T16:01:42.077898,MOBILE,result,3,,LED,,person,0.000,00:00:00.004,,
148,2025-12-28T16:01:42.095366,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.017,,
149,2025-12-28T16:01:42.124737,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.029,,
150,2025-12-28T16:01:42.138287,MOBILE,converted output to speech,3,,LED,,,,00:00:00.013,,
151,2025-12-28T16:05:01.759579,MOBILE,capture,3,,LED,,starting,,00:03:19.621,,
152,2025-12-28T16:05:05.580587,MOBILE,capture,3,,LED,,finished (29977 bytes),,00:00:03.821,,
153,2025-12-28T16:05:05.585781,MOBILE,detectScene,3,,LED,,starting,,00:00:00.005,,
154,2025-12-28T16:05:05.726056,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.140,,
155,2025-12-28T16:05:06.002481,MOBILE,running inference,3,,LED,,,,00:00:00.276,,
156,2025-12-28T16:05:11.395427,MOBILE,finished inference,3,,LED,,,,00:00:05.392,,
157,2025-12-28T16:05:11.431184,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.035,,
158,2025-12-28T16:05:11.438131,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 0.03% | Pixels: 70/270400,,00:00:00.006,,
159,2025-12-28T16:05:11.440602,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.002,,
160,2025-12-28T16:05:11.442830,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 0.0%)",,00:00:00.002,,
161,2025-12-28T16:05:11.446046,MOBILE,result,3,,LED,,person,0.000,00:00:00.003,,
162,2025-12-28T16:05:11.449395,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.003,,
163,2025-12-28T16:05:11.477029,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.027,,
