T+00:04:16.015 | CAMERA | Image captured: 1024x768, 26344 bytes
T+00:04:17.105 | CAMERA | Image captured: 1024x768, 28174 bytes
T+00:04:18.180 | CAMERA | Image captured: 1024x768, 31455 bytes
T+00:04:19.252 | CAMERA | Image captured: 1024x768, 31637 bytes
T+00:04:20.329 | CAMERA | Image captured: 1024x768, 30368 bytes
T+00:04:22.407 | CAMERA | Image captured: 1024x768, 28273 bytes
T+00:04:23.478 | CAMERA | Image captured: 1024x768, 27112 bytes
T+00:04:24.548 | CAMERA | Image captured: 1024x768, 27884 bytes
T+00:04:25.611 | CAMERA | Image captured: 1024x768, 27973 bytes
T+00:04:26.688 | CAMERA | Image captured: 1024x768, 26878 bytes
T+00:04:27.752 | CAMERA | Image captured: 1024x768, 28257 bytes
T+00:04:29.325 | CAMERA | Image captured: 1024x768, 28325 bytes
T+00:04:30.422 | CAMERA | Image captured: 1024x768, 30304 bytes
T+00:04:33.007 | CAMERA | Image captured: 1024x768, 29081 bytes
T+00:15:08.926 | CAMERA | Image captured: 1024x768, 28472 bytes
T+00:15:09.990 | CAMERA | Image captured: 1024x768, 29108 bytes
T+00:15:11.047 | CAMERA | Image captured: 1024x768, 27447 bytes
T+00:15:12.210 | CAMERA | Image captured: 1024x768, 27923 bytes
T+00:15:13.772 | CAMERA | Image captured: 1024x768, 26741 bytes
T+00:15:14.829 | CAMERA | Image captured: 1024x768, 28583 bytes
T+00:15:15.897 | CAMERA | Image captured: 1024x768, 32126 bytes
T+00:15:18.476 | CAMERA | Image captured: 1024x768, 30963 bytes
T+00:15:19.585 | CAMERA | Image captured: 1024x768, 32276 bytes
T+00:15:20.656 | CAMERA | Image captured: 1024x768, 28762 bytes
T+00:15:22.224 | CAMERA | Image captured: 1024x768, 27505 bytes
T+00:15:23.281 | CAMERA | Image captured: 1024x768, 26895 bytes
T+00:15:24.338 | CAMERA | Image captured: 1024x768, 31020 bytes
T+00:15:26.413 | CAMERA | Image captured: 1024x768, 31876 bytes
T+00:15:27.500 | CAMERA | Image captured: 1024x768, 30163 bytes
T+00:15:29.066 | CAMERA | Image captured: 1024x768, 31060 bytes
T+00:15:35.134 | CAMERA | Image captured: 1024x768, 30685 bytes
T+00:15:43.287 | CAMERA | Image captured: 1024x768, 31663 bytes
T+00:15:49.364 | CAMERA | Image captured: 1024x768, 31607 bytes
T+00:15:52.934 | CAMERA | Image captured: 1024x768, 30585 bytes
T+00:15:57.506 | CAMERA | Image captured: 1024x768, 32160 bytes
T+00:16:38.180 | CAMERA | Image captured: 1024x768, 33754 bytes
T+00:16:41.243 | CAMERA | Image captured: 1024x768, 29804 bytes
T+00:16:43.812 | CAMERA | Image captured: 1024x768, 25612 bytes
T+00:16:45.371 | CAMERA | Image captured: 1024x768, 25845 bytes
T+00:16:46.930 | CAMERA | Image captured: 1024x768, 27669 bytes
T+00:16:48.508 | CAMERA | Image captured: 1024x768, 29677 bytes
T+00:16:49.575 | CAMERA | Image captured: 1024x768, 31147 bytes
T+00:16:52.151 | CAMERA | Image captured: 1024x768, 29198 bytes
T+00:16:53.223 | CAMERA | Image captured: 1024x768, 30699 bytes
T+00:16:54.782 | CAMERA | Image captured: 1024x768, 30800 bytes
T+00:17:00.853 | CAMERA | Image captured: 1024x768, 29923 bytes
